part,number,text
part1,1-22答,"My university campus is quite scruffy and run-down. I suggest the authorises improve it by spending more money on up-keeping the grounds and modernising the classrooms. If I were in authority would have new classrooms built, I would have the sports facilities repaired, and I would hire more caretakers. Having a more modern campus would make life more pleasant for us, and the place more appealing to visitors."
part1,1-23问,How important is art in life?
part1,1-23答,"I think art is exceedingly important in life, especially today. People spend most of their lives worrying about working, studying or earning money and it is easy to forget the value of art - paintings, sculptures and even contemporary architecture. People need to see beauty in their lives...  art is really fascinating and can inspire us to think more deeply."
part1,1-24问,How important is music for people in your country?
part1,1-24答,"Well, it really depends on the types of people you are talking about. In general, music is especially important for young people, in particular, university students from big cities. Personally, I believe that some types of music are good for helping people calm down and relax, and other types are excellent for energising people. Going to live concerts, for example, can be a really stimulating experience."
part1,1-25问,What do you want to do when you finish university?
part1,1-25答,What I really hope to do is work for an XXX in China. I would like to find a purpose in life - I don’t want to just worry about success and making money like a lot of people nowadays. I  think it would be so rewarding and challenging to work as a volunteer. If I work really hard and save up enough money then I will get a master's degree.
part1,1-26问,Do students get enough holidays in your country?
part1,1-26答,"I believe that they get too many holidays. Most students have a long summer vacation, a fairly long Spring Festival break, national holidays and all sorts of other days off throughout the year. Because of this a vast amount of students forget a lot of what they’ve learned during the longer holidays, and take a long time to get back into the frame of mind to study well. It would be good if the holidays were a bit shorter."
part1,1-27问,and international news where you come from?
part1,1-27答,"Nowadays, it is easier than ever to stay on top of current events in China. There are many different sources of news. There are newsstands in every major city selling all kinds of magazines and newspapers, which often run interesting features on everything from fashion to international affairs. But generally, I surf the internet to stay up-to-date with what is going on in TikTok. Though some people are not very objective, their opinions are interesting to read, and usually offer a different viewpoint to what I read in the mass media."
part1,1-28问,Should people be given longer holidays?
part1,1-28答,"Yes, they certainly should! As I see it, people often work very long hours but don't get a  high salary or very many benefits in return. In fact, many workers frequently do unpaid overtime for their companies. I strongly believe that workers deserve to be given longer paid holidays so that they can relax more. In my opinion, if people are given more paid holidays they are more loyal to their company in the long term and probably work harder because they are more contented with their job."
part1,1-29问,should be required to wear a school uniform?
part1,1-29答,"Absolutely not! I strongly believe that students should have the freedom to wear what they like in school. I think it is unfair to make children all look the same. School is a place for hard work and study, but also a place for children to learn to become individuals with their own styles, ideas and opinions. Young people ought to be given more choice in what they wear. If children are controlled too much when they are young, they can become very rebellious in later years."
part1,1-30问,Is it difficult to learn another language?
part1,1-30答,"I think that learning a language is extremely difficult - probably one of the hardest things someone can do. When you first begin learning, it can be very confusing to remember lots of unfamiliar words and grammar. It often feels a bit awkward and you have to get used to making mistakes."
part1,1-31问,Do you think it is difficult for young people to learn to play musical instruments?
part1,1-31答,"I believe that is pretty difficult for most people. However, I think that young people can usually pick up new things relatively quickly. At first, it's quite hard to get into learning an instrument, but when they get the hang of it, it is not too hard to learn some simple tunes, espacially those kids who are dedicated in the beginning, I think after a while they will become quite proficient."
part1,1-32问,Do you think that computer games are suitable for young children?
part1,1-32答,"I believe that computer games are inappropriate for very young children. For older children, I think it is reasonable for them to play computer games but it would be advisable for their parents to restrict the amount of time they play games. As most people know, staring at a computer screen for too long can be detrimental to eyesight. Also, games that are really violent or scary are not suitable as they might have a negative impact on the child's mental health."
part1,1-33问,Are outdoor sports suitable for people of all ages?
part1,1-33答,"I think that most outdoor sports are suitable for everyone. Though people who do adventurous sports like rock-climbing, abseiling, or white water rafting, should be careful because these sports can be dangerous if you don't know what you are doing. In fact, now I think about it, for kids and elderly people I think those sports are unsuitable. However, for fit and healthy people these sports can be exhilarating and invigorating."
